name,source,gender,wikidata,type
"Avenida Helen Keller",wikidata,F,Q38203,way
"Avenida Madame Curie",wikidata,F,Q7186,way
"Avenida Maria Helena Vieira da Silva",wikidata,F,Q242399,way
"Avenida Santa Joana Princesa",wikidata,F,Q272511,way
"Largo de Dona Estefânia",wikidata,F,Q241201,way
"Miradouro Sophia de Mello Breyner Andresen",wikidata,F,Q235992,relation
"Passeio Eunice Muñoz",wikidata,F,Q512870,way
"Rua Actriz Virginia",wikidata,F,Q67058690,way
"Rua Águeda Sena",wikidata,F,Q10395697,way
"Rua Alda Nogueira",wikidata,F,Q105747231,way
"Rua Antónia Pusich",wikidata,F,Q54556162,way
"Rua Bernarda Ferreira de Lacerda",wikidata,F,Q16497918,way
"Rua Branca de Gonta Colaço",wikidata,F,Q3701662,way
"Rua Celeste Rodrigues",wikidata,F,Q512884,way
"Rua Fernanda Montemor",wikidata,F,Q10281188,way
"Rua Florbela Espanca",wikidata,F,Q467179,way
"Rua Georgina Ribas",wikidata,F,Q106378586,way
"Rua Helena Vaz da Silva",wikidata,F,Q17420920,way
"Rua Jacinta Marto",wikidata,F,Q206278,way
"Rua Laura Ayres",wikidata,F,Q1587071,way
"Rua Luisa Todi",wikidata,F,Q439234,way
"Rua Madalena Iglésias",wikidata,F,Q280482,way
"Rua Madre Teresa de Calcutá",wikidata,F,Q30547,way
"Rua Maria Amália Vaz de Carvalho",wikidata,F,Q6760996,way
"Rua Maria José Nogueira Pinto",wikidata,F,Q10325930,way
"Rua Marquesa de Alorna",wikidata,F,Q275748,way
"Rua Natália Correia",wikidata,F,Q270268,way
"Rua Rosália de Castro",wikidata,F,Q464264,way
"Rua Teresa Tarouca",wikidata,F,Q10380534,way
"Rua Violante do Céu",wikidata,F,Q6455687,way
"Rua da Madalena",wikidata,F,Q63070,way
"Rua de Dona Estefânia",wikidata,F,Q241201,way
"Rua de Dona Filipa de Vilhena",wikidata,F,Q10282241,way
"Rua de Santa Justa",wikidata,F,Q24254812,way
"Alameda Cardeal Cerejeira",wikidata,M,Q966168,way
"Alameda Dom Afonso Henriques",wikidata,M,Q587697,way
"Alameda Keil do Amaral",wikidata,M,Q734130,way
"Avenida Afonso Costa",wikidata,M,Q383401,way
"Avenida Afonso III",wikidata,M,Q295850,way
"Avenida Almirante Gago Coutinho",wikidata,M,Q951470,way
"Avenida Almirante Reis",wikidata,M,Q7675563,way
"Avenida Álvaro Cunhal",wikidata,M,Q250919,way
"Avenida António Augusto de Aguiar",wikidata,M,Q2857725,way
"Avenida António José de Almeida",wikidata,M,Q551542,way
"Avenida Aquilino Ribeiro Machado",wikidata,M,Q16493173,way
"Avenida Barbosa du Bocage",wikidata,M,Q630116,way
"Avenida Calouste Gulbenkian",wikidata,M,Q345538,way
"Avenida Carlos Paredes",wikidata,M,Q952965,way
"Avenida Casal Ribeiro",wikidata,M,Q528812,way
"Avenida Columbano Bordalo Pinheiro",wikidata,M,Q1112288,way
"Avenida Conselheiro Fernando de Sousa",wikidata,M,Q10309384,way
"Avenida David Mourão-Ferreira",wikidata,M,Q1175773,way
"Avenida Dom João II",wikidata,M,Q217637,way
"Avenida Doutor Alfredo Bensaúde",wikidata,M,Q1528489,way
"Avenida Doutor Francisco Luís Gomes",wikidata,M,Q5483610,way
"Avenida Doutor Mário Soares",wikidata,M,Q156781,way
"Avenida Duque de Ávila",wikidata,M,Q611078,way
"Avenida Duque de Loulé",wikidata,M,Q116972,way
"Avenida Elias Garcia",wikidata,M,Q10309321,way
"Avenida Engenheiro Duarte Pacheco",wikidata,M,Q10268881,way
"Avenida Eugénio de Andrade",wikidata,M,Q559862,way
