name,source,gender,wikidata,type
"Avenida de Berlim",wikidata,,Q64,way
"Avenida do Rio de Janeiro",wikidata,,Q8678,way
"2ª Rua Particular",,,,way
"3ª Rua Particular",,,,way
"Access to Metro 'Aeroporto'",,,,way
"Acesso Metro Laranjeiras",,,,way
"Acesso Olival Basto",,,,way
"Acesso à Ponte 25 de Abril",,,,way
"Acesso ao Eixo N-S",,,,way
"Acesso de Sete Rios",,,,way
"Aeroporto da Portela",,,,way
"Alameda António Sérgio",,,,way
"Alameda Cardeal Cerejeira",,,,way
"Alameda Coronel Marques Júnior",,,,way
"Alameda Dom Afonso Henriques",,,,way
"Alameda Edgar Cardoso",,,,way
"Alameda Keil do Amaral",,,,way
"Alameda Mahatma Gandhi",,,,way
"Alameda Manuel Ricardo Espírito Santo",,,,way
"Alameda Padre Álvaro Proença",,,,way
"Alameda Roentgen",,,,way
"Alameda da Encarnação",,,,way
"Alameda da Música",,,,way
"Alameda da Quinta de Santo António",,,,way
"Alameda da Universidade",,,,way
"Alameda das Comunidades Portuguesas",,,,way
"Alameda das Linhas de Torres",,,,way
"Alameda das Oliveiras",,,,way
"Alameda de Santo António dos Capuchos",,,,way
"Alameda do Beato",,,,way
"Alameda dos Lodãos",,,,way
"Alameda dos Oceanos",,,,way
"Alameda dos Pinheiros",,,,way
"Alto da Boavista",,,,way
"Alto da Cova da Moura",,,,way
"Alto das Conchas",,,,way
"Alto de Caselas",,,,way
"Alto de São Francisco",,,,way
"Alto do Carvalhão",,,,way
"Alto do Chapeleiro",,,,way
"Alto do Longo",,,,way
"Alto do Penalva",,,,way
"Alto do Varejão",,,,way
"Alto dos Moinhos",,,,way
"Arco Escuro",,,,way
"Arco Grande de Cima",,,,way
"Arco da Conceição",,,,way
"Arco da Travessa do Monte",,,,way
"Arco das Portas do Mar",,,,way
"Arco de Jesus",,,,way
"Arco do Bandeira",,,,way
"Arco do Evaristo",,,,way
"Arco do Rosário",,,,way
"Área de serviço Galp Aeroporto",,,,way
"Arruamento à Avenida de Pádua",,,,way
"Arruamento à Rua da Junqueira",,,,way
"Arruamento à Rua de Vila Sena",,,,way
"Átrio da Estação",,,,way
"Autoestrada da Costa do Estoril",,,,way
"Autoestrada do Norte",,,,way
"Autoestrada do Sul",,,,way
"Avenida 24 de Janeiro",,,,way
"Avenida 24 de Julho",,,,relation+way
"Avenida 25 de Abril",,,,way
"Avenida 5 de Outubro",,,,way
"Avenida Afonso Costa",,,,way
"Avenida Afonso III",,,,way
"Avenida Almirante Barroso",,,,way
"Avenida Almirante Gago Coutinho",,,,way
"Avenida Almirante Reis",,,,way
"Avenida Álvares Cabral",,,,way
"Avenida Álvaro Cunhal",,,,way
"Avenida Álvaro Pais",,,,way
"Avenida Alves Redol",,,,way
"Avenida António Augusto Aguiar",,,,way
"Avenida António Augusto de Aguiar",,,,way
"Avenida António José de Almeida",,,,way
"Avenida António Serpa",,,,way
"Avenida António de Serpa",,,,way
"Avenida Aquilino Ribeiro Machado",,,,way
"Avenida Avelino Teixeira da Mota",,,,way
"Avenida Barbosa du Bocage",,,,way
"Avenida Calouste Gulbenkian",,,,way
"Avenida Carlos Paredes",,,,way
"Avenida Carlos Pinhão",,,,way
"Avenida Casal Ribeiro",,,,way
"Avenida Cidade de Bratislava",,,,way
"Avenida Cidade de Lourenço Marques",,,,way
"Avenida Cidade de Luanda",,,,way
"Avenida Cidade de Praga",,,,way
"Avenida Cidade do Porto",,,,way
"Avenida Cinco de Outubro",,,,way
"Avenida Columbano Bordalo Pinheiro",,,,way
"Avenida Conde Valbom",,,,way
"Avenida Conde de Valbom",,,,way
"Avenida Conselheiro Barjona de Freitas",,,,way
"Avenida Conselheiro Fernando de Sousa",,,,way
"Avenida Coronel Eduardo Galhardo",,,,way
"Avenida David Mourão-Ferreira",,,,way
"Avenida Defensores de Chaves",,,,way
"Avenida Dom Carlos I",,,,way
"Avenida Dom João II",,,,way
"Avenida Dom Rodrigo da Cunha",,,,way
"Avenida Dom Vasco da Gama",,,,way
"Avenida Doutor Alfredo Bensaúde",,,,way
"Avenida Doutor Arlindo Vicente",,,,way
"Avenida Doutor Augusto de Castro",,,,way
"Avenida Doutor Francisco Luís Gomes",,,,way
"Avenida Doutor José Salvado Sampaio",,,,way
"Avenida Doutor Mário Moutinho",,,,way
"Avenida Doutor Mário Soares",,,,way
"Avenida Duque de Ávila",,,,way
"Avenida Duque de Loulé",,,,way
"Avenida Elias Garcia",,,,way
"Avenida Engenheiro Arantes e Oliveira",,,,way
"Avenida Engenheiro Duarte Pacheco",,,,way
"Avenida Eugénio de Andrade",,,,way
"Avenida Eusébio da Silva Ferreira/2ª Circular",,,,way
"Avenida Fernando Pessoa",,,,way
"Avenida Fontes Pereira de Melo",,,,way
"Avenida Francisco Salgado Zenha",,,,way
"Avenida François Mitterrand",,,,way
"Avenida Frei Miguel Contreiras",,,,way
"Avenida General Correia Barreto",,,,way
"Avenida General Correia Barreto/Radial de Benfica",,,,way
"Avenida General Norton de Matos",,,,way
"Avenida General Norton de Matos/2ª Circular",,,,way
"Avenida General Roçadas",,,,way
"Avenida Glicínia Quartin",,,,way
"Avenida Gomes Pereira",,,,way
"Avenida Grão Vasco",,,,way
"Avenida Guerra Junqueiro",,,,way
"Avenida Helen Keller",,,,way
"Avenida Infante Dom Henrique",,,,way
"Avenida Infante Santo",,,,way
"Avenida João Crisóstomo",,,,way
"Avenida João Paulo II",,,,way
"Avenida João XXI",,,,way
"Avenida José Malhoa",,,,way
"Avenida José Régio",,,,way
"Avenida Júlio Dinis",,,,way
"Avenida Luís Bívar",,,,way
"Avenida Lusíada",,,,way
"Avenida Machado Santos",,,,way
"Avenida Magalhães Lima",,,,way
"Avenida Manuel da Maia",,,,way
"Avenida Marconi",,,,way
"Avenida Marechal António de Spínola",,,,way
"Avenida Marechal Craveiro Lopes",,,,way
"Avenida Marechal Craveiro Lopes/2ª Circular",,,,way
"Avenida Marechal Francisco Costa Gomes",,,,way
"Avenida Marechal Francisco da Costa Gomes",,,,way
"Avenida Marechal Gomes da Costa",,,,way
"Avenida Marechal Teixeira Rebelo",,,,way
"Avenida Marginal",,,,way
"Avenida Maria Helena Vieira da Silva",,,,way
"Avenida Marques Junior",,,,way
"Avenida Marquês de Tomar",,,,way
"Avenida Miguel Bombarda",,,,way
"Avenida Miguel Torga",,,,way
"Avenida Mousinho de Albuquerque",,,,way
"Avenida Mouzinho de Albuquerque",,,,way
"Avenida Nuno Krus Abecasis",,,,way
"Avenida Nuno Krus Abecassis",,,,way
"Avenida Óscar Monteiro Torres",,,,way
"Avenida Padre Cruz",,,,way
"Avenida Padre Manuel da Nóbrega",,,,way
"Avenida Paulo VI",,,,way
"Avenida Pedro Álvares Cabral",,,,way
"Avenida Poeta Mistral",,,,way
"Avenida Praia da Vitória",,,,way
"Avenida Professor Aníbal de Bettencourt",,,,way
"Avenida Professor Egas Moniz",,,,way
"Avenida Professor Francisco Gama Carneiro",,,,way
"Avenida Professor Francisco da Gama Caeiro",,,,way
"Avenida Professor Gama Pinto",,,,way
"Avenida Rainha Dona Amélia",,,,way
"Avenida Rainha Dona Leonor",,,,way
"Avenida República da Bulgária",,,,way
"Avenida Ressano Garcia",,,,way
"Avenida Rovisco Pais",,,,way
"Avenida Rui Nogueira Simões",,,,way
"Avenida Sacadura Cabral",,,,way
"Avenida Santa Joana Princesa",,,,way
"Avenida Santos Dumont",,,,way
"Avenida Santos e Castro",,,,way
"Avenida São João de Deus",,,,way
"Avenida Sérgio Vieira de Mello",,,,way
"Avenida Sidónio Pais",,,,way
"Avenida Tenente Martins",,,,way
"Avenida Ventura Terra",,,,way
"Avenida Vergílio Ferreira",,,,way
"Avenida Visconde de Valmor",,,,way
"Avenida da Boa Esperança",,,,way
"Avenida da Igreja",,,,way
"Avenida da Ilha da Madeira",,,,way
"Avenida da Índia",,,,way
"Avenida da Liberdade",,,,way
"Avenida da Peregrinação",,,,way
"Avenida da República",,,,way
"Avenida da República (Túnel)",,,,way
"Avenida da Ribeira das Naus",,,,way
"Avenida da Torre de Belém",,,,way
"Avenida da Ucrânia",,,,way
"Avenida da Universidade Técnica",,,,way
"Avenida das Descobertas",,,,way
"Avenida das Forças Armadas",,,,way
"Avenida das Nações Unidas",,,,way
"Avenida de António José de Almeida",,,,way
"Avenida de Berna",,,,way
"Avenida de Brasília",,,,way
"Avenida de Ceuta",,,,way
"Avenida de Madrid",,,,way
"Avenida de Moscavide",,,,way
"Avenida de Pádua",,,,way
"Avenida de Paris",,,,way
"Avenida de Roma",,,,way
"Avenida de Ulisses",,,,way
"Avenida do Atlântico",,,,way
"Avenida do Brasil",,,,way
"Avenida do Colégio Militar",,,,way
"Avenida do Índico",,,,way
"Avenida do Mediterrâneo",,,,way
"Avenida do México",,,,way
"Avenida do Pacífico",,,,way
"Avenida do Ralis",,,,way
"Avenida do Restelo",,,,way
"Avenida do Santo Condestável",,,,way
"Avenida do Uruguai",,,,way
"Avenida dos Bombeiros",,,,way
"Avenida dos Combatentes",,,,way
"Avenida dos Condes de Carnide",,,,way
"Avenida dos Estados Unidos da América",,,,way
"Azinhaga Fonte do Louro",,,,way
"Azinhaga da Alagueza",,,,way
"Azinhaga da Bela Vista",,,,way
"Azinhaga da Bruxa",,,,way
"Azinhaga da Cidade",,,,way
"Azinhaga da Fonte",,,,way
"Azinhaga da Fonte Velha",,,,way
"Azinhaga da Fonte do Louro",,,,way
"Azinhaga da Luz",,,,way
"Azinhaga da Marinheira",,,,way
"Azinhaga da Maruja",,,,way
"Azinhaga da Musgueira",,,,way
"Azinhaga da Póvoa",,,,way
"Azinhaga da Quinta das Courelas",,,,way
"Azinhaga da Quinta do Alfenim",,,,way
"Azinhaga da Salgada",,,,way
"Azinhaga da Torre do Fato",,,,way
"Azinhaga da Torrinha",,,,way
"Azinhaga da Troca",,,,way
"Azinhaga da Vila Formosa",,,,way
"Azinhaga das Carmelitas",,,,way
"Azinhaga das Cerejeiras",,,,way
"Azinhaga das Freiras",,,,way
"Azinhaga das Galhardas",,,,way
"Azinhaga das Galinheiras",,,,way
"Azinhaga das Lajes",,,,way
"Azinhaga das Mós",,,,way
"Azinhaga das Teresinhas",,,,way
"Azinhaga das Travessas",,,,way
"Azinhaga das Veigas",,,,way
"Azinhaga de Santa Susana",,,,way
"Azinhaga do Alto do Varejão",,,,way
"Azinhaga do Armador",,,,way
"Azinhaga do Baptista",,,,way
"Azinhaga do Beco",,,,way
"Azinhaga do Broma",,,,way
"Azinhaga do Casal das Oliveiras",,,,way
"Azinhaga do Casquilho",,,,way
"Azinhaga do Ferrão",,,,way
"Azinhaga do Jogo da Bola",,,,way
"Azinhaga do Planeta",,,,way
"Azinhaga do Poço de Baixo",,,,way
"Azinhaga do Poço de Cortes",,,,way
"Azinhaga do Pombeiro",,,,way
"Azinhaga do Porto",,,,way
"Azinhaga do Reguengo",,,,way
"Azinhaga do Rio",,,,way
"Azinhaga do Serrado",,,,way
"Azinhaga do Vale Fundão",,,,way
"Azinhaga dos Alfinetes",,,,way
"Azinhaga dos Ameixiais",,,,way
"Azinhaga dos Barros",,,,way
"Azinhaga dos Cerejais",,,,way
"Azinhaga dos Cucos",,,,way
"Azinhaga dos Lameiros",,,,way
"Azinhaga dos Milagres",,,,way
"Azinhaga dos Ulmeiros",,,,way
"Bairro Belo Horizonte",,,,way
"Bairro Jardim Sul e Norte",,,,way
"Bairro Novo à Travessa das Águas-Boas",,,,way
"Bairro da Flamenga",,,,relation
"Bairro do Alvito",,,,way
"Beco Cascalho",,,,way
"Beco Horta das Canas",,,,way
"Beco Pato Moniz",,,,way
"Beco da Achada",,,,way
"Beco da Amendoeira",,,,way
"Beco da Amorosa",,,,way
"Beco da Atafona",,,,way
"Beco da Barbadela",,,,way
"Beco da Bempostinha",,,,way
"Beco da Bica",,,,way
"Beco da Bicha",,,,way
"Beco da Boavista",,,,way
"Beco da Bolacha",,,,way
"Beco da Cardosa",,,,way
"Beco da Caridade",,,,way
"Beco da Corvinha",,,,way
"Beco da Cruz",,,,way
"Beco da Enfermaria",,,,way
"Beco da Formosa",,,,way
"Beco da Galheta",,,,way
"Beco da Guia",,,,way
"Beco da Hera",,,,way
"Beco da Laje",,,,way
"Beco da Lapa",,,,way
"Beco da Maria Luisa",,,,way
"Beco da Mestra",,,,way
"Beco da Mitra",,,,way
"Beco da Mó",,,,way
"Beco da Moeda",,,,way
"Beco da Oliveira",,,,way
"Beco da Pedreira da Caneja",,,,way
"Beco da Ricarda",,,,way
"Beco da Rosa",,,,way
"Beco da Verónica",,,,way
"Beco das Atafonas",,,,way
"Beco das Barrelas",,,,way
"Beco das Beatas",,,,way
"Beco das Canas",,,,way
"Beco das Cruzes",,,,way
"Beco das Farinhas",,,,way
"Beco das Flores",,,,way
"Beco das Gaiolas",,,,way
"Beco das Gralhas",,,,way
"Beco das Mil Patacas",,,,way
"Beco das Olarias",,,,way
"Beco das Pirralhas",,,,way
"Beco das Taipas",,,,way
"Beco dasa Barrelas",,,,way
"Beco de Domingos Tendeiro",,,,way
"Beco de Francisco André",,,,way
"Beco de Maria da Guerra",,,,way
"Beco de Santa Helena",,,,way
"Beco de Santa Marta",,,,way
"Beco de Santa Quitéria",,,,way
"Beco de São Francisco",,,,way
"Beco de São Lázaro",,,,way
"Beco de São Luis da Pena",,,,way
"Beco de São Marçal",,,,way
"Beco de São Miguel",,,,way
"Beco do Alegrete",,,,way
"Beco do Alfurda",,,,way
"Beco do Alfurja",,,,way
"Beco do Almotacé",,,,way
"Beco do Arco Escuro",,,,way
"Beco do Azinhal",,,,way
"Beco do Batalha",,,,way
"Beco do Belo",,,,way
"Beco do Caldeira",,,,way
"Beco do Carneiro",,,,way
"Beco do Carrasco",,,,way
"Beco do Casal",,,,way
"Beco do Cascalho",,,,way
"Beco do Castelo",,,,way
"Beco do Chão Salgado",,,,way
"Beco do Colégio dos Nobres",,,,way
"Beco do Espírito Santo",,,,way
"Beco do Félix",,,,way
"Beco do Fogueteiro",,,,way
"Beco do Forno",,,,way
"Beco do Forno da Galé",,,,way
"Beco do Forno do Castelo",,,,way
"Beco do Forno do Sol",,,,way
"Beco do Funil",,,,way
"Beco do Funileiro",,,,way
"Beco do Garcês",,,,way
"Beco do Grilo",,,,way
"Beco do Hospital da Marinha",,,,way
"Beco do Imaginário",,,,way
"Beco do Índia Pena",,,,way
"Beco do Jasmim",,,,way
"Beco do Jasmim à Rua João do Outeiro",,,,way
"Beco do Leão",,,,way
"Beco do Loureiro",,,,way
"Beco do Machadinho",,,,way
"Beco do Maldonado",,,,way
"Beco do Maquinez",,,,way
"Beco do Melo",,,,way
"Beco do Mexias",,,,way
"Beco do Mirante",,,,way
"Beco do Monte",,,,way
"Beco do Norte",,,,way
"Beco do Olival",,,,way
"Beco do Outeirinho da Amendoeira",,,,way
"Beco do Pernabuquel",,,,way
"Beco do Petinguím",,,,way
"Beco do Pocinho",,,,way
"Beco do Quebra Costas",,,,way
"Beco do Recolhimento",,,,way
"Beco do Rosendo",,,,way
"Beco do Salvador",,,,way
"Beco do Surra",,,,way
"Beco do Viçoso",,,,way
"Beco do Vigário",,,,way
"Beco do Vintém das Escolas",,,,way
"Beco do Xadrez",,,,way
"Beco dos Aciprestes",,,,way
"Beco dos Agulheiros",,,,way
"Beco dos Armazéns do Linho",,,,way
"Beco dos Beguinhos",,,,way
"Beco dos Birbantes",,,,way
"Beco dos Capachinhos",,,,way
"Beco dos Cativos",,,,way
"Beco dos Cavaleiros",,,,way
"Beco dos Clérigos",,,,way
"Beco dos Contrabandistas",,,,way
"Beco dos Cortumes",,,,way
"Beco dos Ferreiros",,,,way
"Beco dos Fróis",,,,way
"Beco dos Loios",,,,way
"Beco dos Lóios",,,,way
"Beco dos Paus",,,,way
"Beco dos Peixinhos",,,,way
"Beco dos Ramos",,,,way
"Beco dos Surradores",,,,way
"Beco dos Toucinheiros",,,,way
"Beco dos Três Engenhos",,,,way
"Beco dos Vidros",,,,way
"Boqueirão da Ponte da Lama",,,,way
"Boqueirão da Ponte de Lama",,,,way
"Boqueirão da Praia da Galé",,,,way
"Boqueirão do Duro",,,,way
"Boqueirão dos Ferreiros",,,,way
"Bosque Encantado",,,,relation
"Cai de Costas",,,,way
"Cais 1",,,,way
"Cais 3",,,,way
"Cais Português",,,,way
"Cais da Lingueta",,,,way
"Cais da Ribeira das Naus",,,,way
"Cais das Colunas",,,,way
"Cais das Naus",,,,way
"Cais das Pombas",,,,way
"Cais do Gás",,,,way
"Cais do Olival",,,,way
"Cais do Sodré",,,,way
"Cais dos Argonautas",,,,way
"Calçada Agostinho de Carvalho",,,,way
"Calçada Bento Rocha Cabral",,,,way
"Calçada Bento da Rocha Cabral",,,,way
"Calçada Engenheiro Miguel Pais",,,,way
"Calçada Ernesto Silva",,,,way
"Calçada Nova de São Francisco",,,,way
"Calçada Nova do Colégio",,,,way
"Calçada Ribeiro Santos",,,,way
"Calçada Salvador Correia de Sá",,,,way
"Calçada da Ajuda",,,,way
"Calçada da Bica Grande",,,,way
"Calçada da Bica Pequena",,,,way
"Calçada da Boa Hora",,,,way
"Calçada da Boa-Hora",,,,way
"Calçada da Cruz da Pedra",,,,way
"Calçada da Estação",,,,way
"Calçada da Estrela",,,,way
"Calçada da Glória",,,,way
"Calçada da Graça",,,,way
"Calçada da Memória",,,,way
"Calçada da Mouraria",,,,way
"Calçada da Pampulha",,,,way
"Calçada da Patriarcal",,,,way
"Calçada da Picheleira",,,,way
"Calçada da Quintinha",,,,way
"Calçada da Rosa",,,,way
"Calçada da Senhora do Monte",,,,way
"Calçada da Tapada",,,,way
"Calçada das Lajes",,,,way
"Calçada das Necessidades",,,,way
"Calçada de Arroios",,,,way
"Calçada de Carriche",,,,way
"Calçada de Dom Gastão",,,,way
"Calçada de Palma de Baixo",,,,way
"Calçada de Santa Apolónia",,,,way
"Calçada de Santa Catarina a Chelas",,,,way
"Calçada de Santana",,,,way
"Calçada de Santo Amaro",,,,way
"Calçada de Santo André",,,,way
"Calçada de Santo António",,,,way
"Calçada de São Francisco",,,,way
"Calçada de São Lourenço",,,,way
"Calçada de São Vicente",,,,way
"Calçada do Baltazar",,,,way
"Calçada do Cabra",,,,way
"Calçada do Cardeal",,,,way
"Calçada do Carmo",,,,way
"Calçada do Carrascal",,,,way
"Calçada do Cascão",,,,way
"Calçada do Castelo Picão",,,,way
"Calçada do Combro",,,,way
"Calçada do Conde de Penafiel",,,,way
"Calçada do Conde de Pombeiro",,,,way
"Calçada do Correio Velho",,,,way
"Calçada do Desterro",,,,way
"Calçada do Duque",,,,way
"Calçada do Duque de Lafões",,,,way
